loss,grad_norm,learning_rate,rewards/chosen,rewards/rejected,rewards/accuracies,rewards/margins,logps/rejected,logps/chosen,logits/rejected,logits/chosen,epoch,step,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.668,2.113584041595459,4.8571428571428576e-05,-0.0010694540105760098,-0.05275794118642807,0.824999988079071,0.051688484847545624,-316.6041259765625,-240.8377227783203,2.026265859603882,1.7563155889511108,0.02666666666666667,10,,,,,
0.6076,1.8436768054962158,4.714285714285714e-05,-0.035120636224746704,-0.21750995516777039,0.987500011920929,0.18238934874534607,-326.0164794921875,-295.6739807128906,2.5419821739196777,2.454881429672241,0.05333333333333334,20,,,,,
0.5475,1.971117377281189,4.5714285714285716e-05,-0.054930828511714935,-0.38562482595443726,0.949999988079071,0.3306940197944641,-306.62249755859375,-267.542236328125,2.573942184448242,2.227987766265869,0.08,30,,,,,
0.5014,1.7863010168075562,4.428571428571428e-05,-0.10689039528369904,-0.5694476962089539,0.9750000238418579,0.462557315826416,-315.60235595703125,-258.02459716796875,2.4600613117218018,1.9934841394424438,0.10666666666666667,40,,,,,
0.4561,1.4844295978546143,4.2857142857142856e-05,-0.14162613451480865,-0.7353800535202026,0.9750000238418579,0.5937538743019104,-283.20550537109375,-219.0178680419922,2.5542221069335938,2.171372890472412,0.13333333333333333,50,,,,,
0.388,1.871455430984497,4.1571428571428575e-05,-0.2466084063053131,-1.0853497982025146,0.9624999761581421,0.8387414216995239,-321.0801696777344,-289.49053955078125,2.9204025268554688,2.348707675933838,0.16,60,,,,,
0.3491,1.5920461416244507,4.014285714285714e-05,-0.3077264428138733,-1.3649481534957886,0.9750000238418579,1.05722177028656,-316.41680908203125,-289.0506896972656,2.7501907348632812,2.4842381477355957,0.18666666666666668,70,,,,,
0.2967,1.1898220777511597,3.8714285714285715e-05,-0.36181896924972534,-1.636667251586914,0.9750000238418579,1.2748483419418335,-302.7445068359375,-244.8084716796875,2.521968364715576,2.02815318107605,0.21333333333333335,80,,,,,
0.2835,1.19117271900177,3.728571428571428e-05,-0.40308842062950134,-1.872606635093689,0.949999988079071,1.4695183038711548,-298.4526062011719,-246.0666961669922,2.778697967529297,2.1426103115081787,0.24,90,,,,,
0.2796,1.2605223655700684,3.585714285714286e-05,-0.5631340146064758,-2.1075515747070312,0.949999988079071,1.5444176197052002,-303.2310791015625,-254.50741577148438,2.7867610454559326,2.1329166889190674,0.26666666666666666,100,,,,,
